CZUĆ,ЧУТИ,odczuwać,słuchać
MECZ,МЕЧ,rozhgrywka,dawna broń biała
PIŁKA,ПИЛКА,piłka do gry albo do cięcia,narzędzie do cięcia
OWOC,ОВОЧ,np. jabłko,warzywo
ŻYWOT,ЖИВІТ,życie,brzuch
CHYBA,ХИБА,być może,błąd
PROSTO,ПРОСТО,łatwo albo na wprost,tylko łatwo
KAZAĆ,КАЗАТИ,rozkaz,mówić
BOGATO,БАГАТО,zamożnie,dużo
DYWAN,ДИВАН,na podłogę lub ścianę,kanapa
NA WSI,НА ВСІ,poza miastem,np. na wszystkie strony
PAMIĘTNIK,ПАМ’ЯТНИК,dziennik,pomnik
KIT,КІТ,masa do mocowania szyb albo kłamstwo,kot
DYNIA,ДИНЯ,dynia jak na Halloween,melon
ARBUZ,ГАРБУЗ,arbus,dynia
